,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
159,2020,CALIFORNIA,21,DAVID G VALADAO,TJ COX,REPUBLICAN,DEMOCRAT,170334,170334,DAVID G VALADAO,REPUBLICAN,DAVID G. VALADAO,DAVID G. VALADAO,REP,REP,52.0,49.0
160,2020,CALIFORNIA,22,DEVIN NUNES,PHIL ARBALLO,REPUBLICAN,DEMOCRAT,315139,315139,DEVIN NUNES,REPUBLICAN,DEVIN NUNES,DEVIN NUNES,REP,REP,51.0,51.0
161,2020,CALIFORNIA,25,CHRISTY SMITH,MIKE GARCIA,DEMOCRAT,REPUBLICAN,338943,338943,CHRISTY SMITH,DEMOCRAT,CHRISTY SMITH,CHRISTY SMITH,DEM,DEM,51.0,49.0
162,2020,CALIFORNIA,39,GILBERT RAY CISNEROS JR,YOUNG KIM,DEMOCRAT,REPUBLICAN,343783,343783,GILBERT RAY CISNEROS JR,DEMOCRAT,YOUNG KIM,GIL CISNEROS,REP,DEM,47.0,47.0
163,2020,CALIFORNIA,48,HARLEY ROUDA,MICHELLE STEEL,DEMOCRAT,REPUBLICAN,395100,395100,HARLEY ROUDA,DEMOCRAT,BRIAN BURLEY,HARLEY ROUDA,REP,DEM,65.4,42.0
164,2020,CALIFORNIA,49,BRIAN MARYOTT,MIKE LEVIN,REPUBLICAN,DEMOCRAT,386506,386506,BRIAN MARYOTT,REPUBLICAN,MIKE LEVIN,MIKE LEVIN,DEM,DEM,56.0,49.0
165,2020,CALIFORNIA,50,AMMAR CAMPA-NAJJAR,DARRELL ISSA,DEMOCRAT,REPUBLICAN,362390,362390,AMMAR CAMPA-NAJJAR,DEMOCRAT,DARRELL E. ISSA,DARRELL E. ISSA,REP,REP,51.0,48.0
166,2020,CALIFORNIA,53,GEORGETTE GOMEZ,SARA JACOBS,DEMOCRAT,DEMOCRAT,334858,334858,GEORGETTE GOMEZ,DEMOCRAT,SARA JACOBS,SARA JACOBS,DEM,DEM,40.0,38.0
167,2020,COLORADO,3,CRITTER MILTON,DIANE E MITSCH BUSH,UNITY PARTY OF COLORADO,DEMOCRAT,429319,429319,CRITTER MILTON,UNITY PARTY OF COLORADO,DIANE MITSCH BUSH,DIANE MITSCH BUSH,DEM,DEM,46.0,44.0
168,2020,FLORIDA,4,DONNA DEEGAN,GARY L KONIZ,DEMOCRAT,WRITE-IN,504940,504940,DONNA DEEGAN,DEMOCRAT,JOHN H. RUTHERFORD,JOHN H. RUTHERFORD,REP,REP,61.4,57.0
